epoch,loss,accuracy,mean_iou
0,0.11112177253082128,0.9537121480712567,0.8497531590461426
1,0.10258324847684259,0.9572200313568472,0.8582763837814331
2,0.09974245734786912,0.9583652378082275,0.8615058826446533
3,0.09846621879386902,0.9588839846611023,0.8632486032485962
4,0.09580412716259956,0.9599321914672852,0.8666166233062744
5,0.09435289276170731,0.9605334230422974,0.8679097720146179
6,0.09357806244134903,0.960823614692688,0.8691937161445618
7,0.09167198706197739,0.9615861011505127,0.871548278427124
8,0.08965573012638092,0.9624442883491516,0.8741410809516907
9,0.08814954376649857,0.9630743695259094,0.8757132121086121
10,0.08673843205404282,0.9636530710220337,0.877962334728241
11,0.08718885058689117,0.9635172916412354,0.8770286870956421
12,0.0856712396197319,0.9641302062034607,0.8796253038406372
13,0.08491761032056808,0.9643961621284485,0.8795496059417725
14,0.08588294977474213,0.9640620184898376,0.879340930557251
15,0.08059720724153519,0.966210408782959,0.8854969573974609
16,0.08051768351078033,0.9662566610336304,0.8857643433570862
17,0.07725461885881424,0.9676596952438354,0.889883203125
18,0.07569538796424866,0.9682848888397217,0.8917465044021606
19,0.07453080219507217,0.9687692357063293,0.893274111366272
20,0.07403877968924866,0.9696646788397217,0.894816504687095
21,0.07291761032089116,0.9701834937706296,0.895474186866269
